id,cor_kwh_sunshine,year_month
002da9d5719ff5fb0f53307ace9bc9e7,-0.005998988039534286,2023-01
00327776181f90b1864c4238857098b7,-0.017045047077694574,2023-01
006d406397f66e3feb64e50853668cb6,-0.06378078578529546,2023-01
00bd7e4f354fec1559d7ee2bb41e197f,0.017762918545763083,2023-01
00bfdb2a5b43bb6bfce84e24c81ffdcf,-0.002112074135845287,2023-01
00d3d88e22d370981ac5d39ad7a53648,0.008255843679308693,2023-01
013fd96e38c303c648f270b0bed82998,0.004380913478143682,2023-01
0141041d4574564a032404b47b72ed1f,-0.05884788162462103,2023-01
015f14ed18fdc3d71aace42ace74d411,-0.05977110321945515,2023-01
016b1c2e015107740c0250fc3794639e,0.008311656761755201,2023-01
0175900c659052af6a52f340b1f0e7ae,0.025190953132508544,2023-01
0196132c193b1ff86836d8ae70c39614,-0.007826189902353163,2023-01
01cebcc5849a199e8c58c951961b221b,0.03446091408655638,2023-01
01d1c2688966c75856c6622e54a33248,-0.07358000125456292,2023-01
020b99383ff7e86c1aa2e3f81b7b793a,-0.02806991107893291,2023-01
0220bf9f8567159b1559db90244082bb,0.01209141837276564,2023-01
023de4c0e8aca9bcccffdc05d1101cff,-0.012393578077076594,2023-01
0266f81e68c473a78f8aa7a25d0fab90,0.04497076489036723,2023-01
02a5806db330113b5dc8ca8600208247,-0.0057662559381028685,2023-01
02acaf1b8fca61f1308db3625d3454e4,0.0003158398192184954,2023-01
0346e0b3f19862b85057a7ad80881bf6,-0.06687132434792568,2023-01
035254738f1cc8a31075d9fbe3ec2132,-0.006229244102739259,2023-01
0371f79d154c00f9e3e39c27bab2b426,-0.000154778355828803,2023-01
03bd6215e54533c86cc74df129aa0b6c,-0.03196824579000737,2023-01
03d274ec32c27870e0fecd7fec7889fa,0.01117971793707749,2023-01
03f67aba749c6b3989539487844431a5,-0.019115094897798023,2023-01
04d8317fbd512b183d861f7b575ad49f,-0.023447614553234703,2023-01
04f11dec2359e357cf4be670256c5a52,-0.047784673783458215,2023-01
0540126fe8253dddc4adecdada66ee60,-0.020017928582251147,2023-01
05505f6bcaa602b10f7a2b4c675040d0,-0.01613158007059481,2023-01
0585ff8687b7f4e012b71267f0c5760c,-0.01691061519355549,2023-01
05a4256b47d4439b19c1f2fe6fc4059b,-0.010052825508893576,2023-01
05c9371aed60532eddfa505bca298626,-0.03593154220316668,2023-01
061c69045567a80c2bb4642a0217e452,-0.0058758727496767615,2023-01
062ee6bc318d4d230d75f0c8778b278a,-0.0033138433016058886,2023-01
06795306de52e54b59eb560f24683521,-0.14791554463940712,2023-01
06c1b62ed66cbf1e932e00fa85fde9f4,-0.01485959037875613,2023-01
06d4e4ff7fa707d22ed67dbd51c4e127,-0.026257579850717336,2023-01
06d917ecd917604da0e98b7ac087f952,0.055619512319405685,2023-01
06fc657b3651649fa8001f35fad35c16,-0.0252577357877616,2023-01
0709dcf253e3d982656e47dad0974c45,0.006571462196822472,2023-01
073611cf56d5c60da2b7960d79505333,-0.0184123940253188,2023-01
07384940d360044a4b0691730cf2aae0,-0.03236560028639757,2023-01
0749cd63a6626cee589c2e311111d643,0.04429034885004818,2023-01
074f6ada7a0cdca713a9a4f2985dbd05,-0.002183576726550284,2023-01
07b50930e0e1c80dbf98bb726ebc1ace,0.009009013029174817,2023-01
07d095d6a795fd4048af9f3693313b12,0.005920699106871013,2023-01
07d861e03c0299945edad5f9f1668da7,-0.012970797566814594,2023-01
07e953f3b97aa087e06217eab04bd26e,-0.0026596110460042435,2023-01
0820b767b027b2f1b1288e9aa2961de5,0.036370006731536994,2023-01
084a108336f945632e3c25cc5c7bf19d,0.008928909681909134,2023-01
08839ce7b973f4348cee42e0f9e8aeed,-0.11436410769916074,2023-01
0886e1820b5c56f91486304592624bd2,-0.04802500059563435,2023-01
08906bcd781bae1d7cdfcac9de3eefb6,-0.006866000637691166,2023-01
08b2295525484278aa92206a874df999,0.0906558682119503,2023-01
0908120d109ce049dc5ac3b1b1c4787d,-0.027288380214398233,2023-01
097b7c5fca7de48ab937378170f1d1cf,0.004552554899606311,2023-01
09d8b40ec6d1e89d298a59c20418849f,0.11919327913153552,2023-01
0a2ea38c49338e3ba9652cefc4a0f84b,0.0019342722991574721,2023-01
0a5bca417563b8fabe410a10328a936d,0.02420997178635765,2023-01
0b305fe0cdc314b4cc91951ce4533674,-0.020774745238853445,2023-01
0b397b8057edf74e250924a874adfea9,-0.03916936483019096,2023-01
0bf932bde97905be880d90a3890e740b,-0.02666664834799585,2023-01
0c056f839ec305cd7a7f16523a1069b4,-0.01463686292136896,2023-01
0c3710e711fca6f5c8a76a1ea4cb9255,0.029125298399629036,2023-01
0c792ac6d7cde155d0f53add53640396,0.02785037596379611,2023-01
0c943c182161b23b4ea922ead68469c8,0.017194957736471568,2023-01
0c94a551c4684b460220bdeefa652084,-0.025159414319372714,2023-01
0ca42961d2e1af79a3330c30a0159b2b,-0.03693728970456988,2023-01
0cd0770f0b2d1f4135f89f0fc6e5d29c,0.03043308269313911,2023-01
0cd30c4b22ff525fce757a27d8e1fb90,0.009016114019538942,2023-01
0cd99aac739b6346faacf1f6740f2e5d,-0.04768108309092669,2023-01
0ce19a2b68573c1c09fad4c0791c3003,0.006088020767126018,2023-01
0d3862632d42f0f450f3643601a34665,0.06243546928162402,2023-01
0d64a3b5b11ba817823df66032837a80,-0.02044588998751094,2023-01
0d9ebe00cd45f7a2f8966f31de8c0d37,-0.04235471447226663,2023-01
0db593c767e3dd25bbb3beacadf52c04,0.0012496117486079329,2023-01
0e2cc5d379f9288bff68bed2673bf8a9,-0.015449637860757775,2023-01
0e31c1b8089509e173c40a78728eb00c,0.02844770050190216,2023-01
0e391956d70e8323e919f6cf4896b9d1,-0.2532350643029049,2023-01
0e68c8f6ef67222f66689041427826b4,-0.017130314447327103,2023-01
0eba398adfffb93fcfcb0626a4440458,-0.05332915199760681,2023-01
0ed4e50e134691b793ef07c1793e1240,-0.0007069178241913525,2023-01
0ee4ae1861d8a36258b8f1b836464690,-0.008079786798900876,2023-01
0f12d4a11b77dd7bc0459b4fa38db516,0.010607657647294507,2023-01
0f20a154ce01b4d7c2f9fe84a7e290d3,-0.05015048541541538,2023-01
0f7af110f33476f09f89f26ca2d1e61a,-0.05755837943422274,2023-01
0fad69d33f62e9c90968b5ccf3cc674c,-0.024050946977816647,2023-01
0fba151b584587ff085935796be1796a,-0.011468367873287338,2023-01
0fdf8fc81aee9eaf7c85b032805b4ac2,-0.08005340423286585,2023-01
0fe3b020f6e832619ab0b635756569e9,-0.022814598799016633,2023-01
1001d9d9bc0c362e39254207f3dba7fb,0.01998999101894693,2023-01
10348384f2f96cee235bc68db4936c00,-0.028909212277045834,2023-01
10450399d05a47f49e16bce02ff6a1e6,0.004330235466069371,2023-01
107d69ad596a1fb7f6a4b4750dd38e03,0.027025584300626442,2023-01
10b61b7dd1cc41963144c1e294b8cfb4,-0.11072421177857905,2023-01
110eabc8638a3a93e1ef6790897e8452,-0.08586624165263644,2023-01
112bdd2b8b23651e45c0134e12a8eca3,0.0006302683578932406,2023-01
11435290b883f6904d2eb7004b3ef467,-0.033335367150638125,2023-01
11616503e7c5b0971e540063dcb4779c,-0.02931314214851694,2023-01
116b4e8973d571b78ad48c118582af7a,-0.03294877837480517,2023-01
1190880fcfd2a2cca2a7a743e370dbdf,-0.022036065191544198,2023-01
11a51d2d64bbb57aa9f7bc89432159b5,-0.005149070801021767,2023-01
11b02ea0e112b588c859d159982b3133,-0.01258360120113131,2023-01
11b4ea369298693178204ec0bc762d34,-0.02546906781293077,2023-01
11bbd73c459475f5df95263d839e244e,-0.029494937213303058,2023-01
1202e73802d73d8cd2810bf8275331c1,-0.03227672542799916,2023-01
1216a4f897eb60fb0e5bdc3286d5b32a,-0.030652965612472195,2023-01
122a9384855a67a4c42afa9cf7f00f2b,0.03966975466452093,2023-01
12663b2a5f7ff9c064d1e6acafd7913a,-0.011739042334285932,2023-01
126cd404513f20772d632981f7f119cd,-0.03946467857945236,2023-01
