id,year_month,stl_0,stl_1,stl_2,stl_3,stl_4,stl_5,stl_6,stl_7,stl_8,stl_9,stl_10,stl_11,stl_12,stl_13,stl_14,stl_15,stl_16,stl_17,stl_18,stl_19,stl_20,stl_21,stl_22,stl_23
f75148515d279e2c6c36207fa4002faf,2021-01,-1.7673163593796192e-05,-1.000141666905466e-05,-6.077102201245066e-07,1.110969378434513e-05,2.3664923134314764e-05,6.187965602135668e-05,9.849173878602989e-05,0.00011544984275977712,0.00010233035799792906,5.8906583921047455e-05,1.8973312774625836e-05,3.8720855881520464e-05,0.0001416134146617706,0.0002985277058351333,0.00042965943707008774,0.00046790077332863647,0.0004045766702459817,0.0002606523704632589,0.00011208644728348668,2.6243611245735558e-05,1.3472425355876622e-05,3.080338842839331e-06,-1.169701257338109e-06,-2.417973672078237e-06
f75148515d279e2c6c36207fa4002faf,2021-02,-4.098096377764615e-06,7.583751601323697e-06,2.741799549444199e-05,5.2176057753904533e-05,8.465677587669319e-05,0.00016162351775033513,0.00021117260614937207,0.00022427888938650055,0.00019354728122599263,0.0001204474986988074,4.523396399955722e-05,6.212197797400848e-06,1.3606378899392066e-05,8.538262004785248e-05,0.00022556469278479875,0.0003563090056075459,0.0004080993699452766,0.0003790872177733686,0.00026577727897755,0.00011856833519005534,7.857587344470943e-05,4.37286351091112e-05,1.9504153098291834e-05,8.888955500869209e-06
f75148515d279e2c6c36207fa4002faf,2021-03,-5.969991054076975e-05,-1.6773353493419415e-05,3.301420613783273e-05,8.536677055736502e-05,0.00014596057169165083,0.00020802211238957267,0.00021569700472863515,0.00017937783170837143,0.00010783274256145134,4.047621890464721e-05,8.456042215442008e-06,-1.136392183650773e-05,-7.695345932127365e-06,2.1212526407421118e-05,9.130598379539982e-05,0.00022375142577620588,0.0003356625423620627,0.00037425018243790454,0.00034044662510162297,0.0002216613982632766,0.00012685833389916714,4.5920499654169555e-05,-2.925031983757995e-05,-9.234301426876455e-05
f75148515d279e2c6c36207fa4002faf,2021-04,-0.00011945761310555575,-3.684586764352874e-05,3.933697822401239e-05,0.00010960977415470748,0.00016735419564020888,0.00015926683411339457,0.00011876605613515865,5.474606053678095e-05,1.1259047759311288e-05,2.758410175512958e-06,4.490829211980661e-06,5.875758687251307e-07,-5.149553638328223e-06,1.5783852575642393e-06,3.923700127190724e-05,0.00014812882922941975,0.00028931321070340186,0.00037203966085792406,0.0003854301818087033,0.0003126095808027306,0.00016923066017133335,4.397866515357182e-05,-8.188605017297947e-05,-0.00020464030707149515
f75148515d279e2c6c36207fa4002faf,2021-05,-9.974728541507733e-05,-3.52197627536742e-05,2.2168508136880417e-05,7.442223708948109e-05,0.00011328651913045874,9.734280019486067e-05,6.463678857729279e-05,2.4392720522160022e-05,-1.5165880650394711e-06,-5.934056033219024e-06,8.059282381771353e-06,1.543180915814457e-05,-9.673749530089067e-06,-1.1732164030077736e-05,1.4198414501942147e-05,0.00010501963012171569,0.0003127479762049982,0.0005050049921891139,0.0005971879934009377,0.0005733146951275197,0.0003277119685875624,9.143229193383824e-05,-0.00015744398512541663,-0.00041844992088867683
f75148515d279e2c6c36207fa4002faf,2021-06,0.0003153779632555045,0.0003628868065591799,0.00039394226266447555,0.0004109728117314218,0.0004187915371248699,0.00028787062199071747,0.0001380339164124515,4.323927607665437e-05,-7.308875306074197e-06,-2.4990156728718582e-05,9.223867754687357e-06,3.1621034147845915e-05,-2.358883525917616e-07,-4.502648419128339e-06,7.729386164796533e-05,0.0002054376263075357,0.00043589277320615693,0.0007204571183135874,0.0008777533441499091,0.0008525752194049273,0.0005337344094261027,0.00018217054260792167,-0.00019475399544882155,-0.0005969204974113133
f75148515d279e2c6c36207fa4002faf,2021-07,-0.00029876934859657635,-6.197237715474462e-05,0.0001545381797717734,0.00035149399536572217,0.0005179984803811334,0.0004878992546611322,0.00035728834668519356,0.00019410533716437593,9.384567937119647e-05,5.3862012358866074e-05,5.45632909521455e-05,7.55674655772793e-05,6.775955926929595e-05,5.116562204076345e-05,7.2422301141648e-05,0.0001573959415265267,0.00031819662724922405,0.0004868830412194033,0.000584611888472715,0.0005626780726108796,0.0003331310522637119,9.649791647905035e-05,-0.00015566299596340294,-0.00042297065344862236
f75148515d279e2c6c36207fa4002faf,2021-08,-0.00040880847000077927,-0.00013353373001435942,0.00011900351175297563,0.0003497874814473102,0.0005440519362191384,0.0005141774251150352,0.0003696880818803433,0.00017049943123233048,4.5251454572100086e-05,1.982925234243043e-06,-9.272278719274745e-06,4.504938313386261e-06,7.511282439798688e-06,7.766078684774281e-07,1.0939068408932461e-05,6.670341717908968e-05,0.00014911728116724215,0.00020079574304927156,0.00021699648762938255,0.00018826469408123167,9.689415465517357e-05,1.5938681094378957e-05,-6.718121482955514e-05,-0.00015188313321244965
f75148515d279e2c6c36207fa4002faf,2021-09,-0.0001337634950168957,-4.155401190754386e-05,4.7070588329929474e-05,0.00013125515742797727,0.00021428005017482555,0.00022355458297310406,0.00018791330765746542,0.0001083866226849752,3.444550890844803e-05,1.1701363193641534e-05,8.328420014856583e-07,-1.1456408064347215e-05,6.72441602724682e-07,2.1029805251599028e-05,8.924020106564423e-05,0.00023171050620018034,0.0003495175105826333,0.0003851242522127607,0.00035093765649292383,0.00023102419920487656,0.00012815127282729893,4.109071687492165e-05,-4.0302014226014865e-05,-0.0001103435224245389
f75148515d279e2c6c36207fa4002faf,2021-10,-0.0001490831112941727,-4.776932903313067e-05,6.338014644344668e-05,0.00017715875874161615,0.00031520084426244686,0.00042121709785885556,0.00041884068565035493,0.00034540571821955573,0.00020388632695045086,6.389445014633393e-05,-3.757770051487958e-06,-1.2790425723858765e-05,3.1031920501732055e-06,6.160642386543873e-05,0.00016747062040835766,0.00024610402059460537,0.0002736540275119406,0.0002548303664209754,0.00015872666412525407,4.918054127313688e-05,4.8612426931503444e-05,4.485696126953848e-05,5.1081529922833704e-05,6.808446086661757e-05
